Time,sequence,locationID,holding
03/25/2021 11:08:13 am,16.4,100.6,91.6
03/25/2021 11:08:13 am,16.5,100.6,91.7
03/25/2021 11:08:13 am,16.6,100.6,91.6
03/25/2021 11:08:13 am,16.7,100.6,91.6
03/25/2021 11:08:13 am,16.8,100.6,91.7
03/25/2021 11:08:13 am,16.9,100.6,91.7
03/25/2021 11:08:14 am,17,100.6,91.6
03/25/2021 11:08:14 am,17.1,100.6,91.6
03/25/2021 11:08:14 am,17.2,100.6,91.6
03/25/2021 11:08:14 am,17.3,100.6,91.7
03/25/2021 11:08:14 am,17.4,100.6,91.6
03/25/2021 11:08:14 am,17.5,100.6,91.6
03/25/2021 11:08:14 am,17.6,100.6,91.6
03/25/2021 11:08:14 am,17.7,100.6,91.7
03/25/2021 11:08:14 am,17.8,100.6,91.6
03/25/2021 11:08:14 am,17.9,100.6,91.7
03/25/2021 11:08:15 am,18,100.6,91.6
03/25/2021 11:08:15 am,18.1,100.6,91.6
03/25/2021 11:08:15 am,18.2,100.6,91.6
03/25/2021 11:08:15 am,18.3,100.6,91.6
03/25/2021 11:08:15 am,18.4,100.6,91.7
03/25/2021 11:08:15 am,18.5,100.6,91.7
03/25/2021 11:08:15 am,18.6,100.6,91.6
03/25/2021 11:08:15 am,18.7,100.6,91.7
03/25/2021 11:08:15 am,18.8,100.6,91.6
03/25/2021 11:08:15 am,18.9,100.6,91.6
03/25/2021 11:08:16 am,19,100.6,91.7
03/25/2021 11:08:16 am,19.1,100.5,91.6
03/25/2021 11:08:16 am,19.2,100.3,91.6
03/25/2021 11:08:16 am,19.3,100.1,91.6
03/25/2021 11:08:16 am,19.4,100,91.7
03/25/2021 11:08:16 am,19.5,100,91.7
03/25/2021 11:08:16 am,19.6,100,91.6
03/25/2021 11:08:16 am,19.7,100,91.6
03/25/2021 11:08:16 am,19.8,100,91.6
03/25/2021 11:08:16 am,19.9,100,91.6
03/25/2021 11:08:17 am,20,100,91.6
03/25/2021 11:08:17 am,20.1,100,91.6
03/25/2021 11:08:17 am,20.2,100,91.6
03/25/2021 11:08:17 am,20.3,100,91.6
03/25/2021 11:08:17 am,20.4,99.7,91.7
03/25/2021 11:08:17 am,20.5,98.9,91.7
03/25/2021 11:08:17 am,20.6,98,91.6
03/25/2021 11:08:17 am,20.7,97.4,91.6
03/25/2021 11:08:17 am,20.8,97,91.6
03/25/2021 11:08:17 am,20.9,96.7,91.6
03/25/2021 11:08:18 am,21,96.5,91.6
03/25/2021 11:08:18 am,21.1,96.5,91.6
03/25/2021 11:08:18 am,21.2,96.5,91.6
03/25/2021 11:08:18 am,21.3,96.5,91.6
03/25/2021 11:08:18 am,21.4,96.5,91.6
03/25/2021 11:08:18 am,21.5,96.6,91.7
03/25/2021 11:08:18 am,21.6,96.6,91.7
03/25/2021 11:08:18 am,21.7,96.6,91.6
03/25/2021 11:08:18 am,21.8,96.7,91.6
03/25/2021 11:08:18 am,21.9,96.7,91.6
03/25/2021 11:08:19 am,22,96.7,91.7
03/25/2021 11:08:19 am,22.1,96.7,91.7
03/25/2021 11:08:19 am,22.2,96.7,91.6
03/25/2021 11:08:19 am,22.3,96.7,91.6
03/25/2021 11:08:19 am,22.4,96.7,91.6
03/25/2021 11:08:19 am,22.5,96.7,91.6
03/25/2021 11:08:19 am,22.6,96.7,91.6
03/25/2021 11:08:19 am,22.7,96.7,91.6
03/25/2021 11:08:19 am,22.8,96.7,91.7
03/25/2021 11:08:19 am,22.9,96.7,91.6
03/25/2021 11:08:20 am,23,96.7,91.6
03/25/2021 11:08:20 am,23.1,96.7,91.6
03/25/2021 11:08:20 am,23.2,96.7,91.6
03/25/2021 11:08:20 am,23.3,96.5,91.6
03/25/2021 11:08:20 am,23.4,96.1,91.6
03/25/2021 11:08:20 am,23.5,95.8,91.6
03/25/2021 11:08:20 am,23.6,95.7,91.7
03/25/2021 11:08:20 am,23.7,95.7,91.7
03/25/2021 11:08:20 am,23.8,95.6,91.7
03/25/2021 11:08:20 am,23.9,95.6,91.6
03/25/2021 11:08:21 am,24,95.5,91.6
03/25/2021 11:08:21 am,24.1,95.4,91.6
03/25/2021 11:08:21 am,24.2,95.4,91.7
03/25/2021 11:08:21 am,24.3,95.4,91.7
03/25/2021 11:08:21 am,24.4,95.4,91.6
03/25/2021 11:08:21 am,24.5,95.4,91.7
03/25/2021 11:08:21 am,24.6,95.4,91.6
03/25/2021 11:08:21 am,24.7,95.4,91.7
03/25/2021 11:08:21 am,24.8,95.4,91.6
03/25/2021 11:08:21 am,24.9,95.4,91.7
03/25/2021 11:08:22 am,25,95.4,91.7
03/25/2021 11:08:22 am,25.1,95.3,91.6
03/25/2021 11:08:22 am,25.2,95.3,91.6
03/25/2021 11:08:22 am,25.3,95.3,91.6
03/25/2021 11:08:22 am,25.4,95.3,91.6
03/25/2021 11:08:22 am,25.5,95.3,91.6
03/25/2021 11:08:22 am,25.6,95.3,91.6
03/25/2021 11:08:22 am,25.7,95.3,91.6
03/25/2021 11:08:22 am,25.8,95.3,91.6
03/25/2021 11:08:22 am,25.9,95.3,91.6
03/25/2021 11:08:23 am,26,95.3,91.6
03/25/2021 11:08:23 am,26.1,95.3,91.6
03/25/2021 11:08:23 am,26.2,95.3,91.6
03/25/2021 11:08:23 am,26.3,95.3,91.7
03/25/2021 11:08:23 am,26.4,95.3,91.6
03/25/2021 11:08:23 am,26.5,95.3,91.7
03/25/2021 11:08:23 am,26.6,95.3,91.7
03/25/2021 11:08:23 am,26.7,95.3,91.6
03/25/2021 11:08:23 am,26.8,95.3,91.7
03/25/2021 11:08:23 am,26.9,95.3,91.6
03/25/2021 11:08:24 am,27,95.3,91.7
03/25/2021 11:08:24 am,27.1,95.3,91.6
03/25/2021 11:08:24 am,27.2,95.3,91.6
03/25/2021 11:08:24 am,27.3,95.3,91.6
03/25/2021 11:08:24 am,27.4,95.3,91.6
03/25/2021 11:08:24 am,27.5,95.3,91.6
03/25/2021 11:08:24 am,27.6,95.3,91.7
03/25/2021 11:08:24 am,27.7,95.3,91.6
03/25/2021 11:08:24 am,27.8,95.3,91.6
03/25/2021 11:08:24 am,27.9,95.3,91.6
03/25/2021 11:08:25 am,28,95.3,91.6
03/25/2021 11:08:25 am,28.1,95.3,91.6
03/25/2021 11:08:25 am,28.2,95.3,91.6
03/25/2021 11:08:25 am,28.3,95.3,91.6
03/25/2021 11:08:25 am,28.4,95.3,91.7
